catalog,case_study,scenario,candidate_index,source_catalog,candidate_source,difference_type,variable_name
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_91p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_92p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_95]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_97p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,hot_oil_selected[HP_98p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,level_selected[HP_100]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,level_selected[HP_102p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,level_selected[HP_105]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,level_selected[HP_106p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,level_selected[HP_107p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,level_selected[HP_115]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,level_selected[HP_115p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,level_selected[HP_116p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,level_selected[HP_127p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,level_selected[HP_132p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,level_selected[HP_140p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,level_selected[HP_142p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,level_selected[HP_147p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,level_selected[HP_151p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,level_selected[HP_152p5]
physical-profile-candidates,contribution-2-case-study-2-physical-profile,hot-oil-fsr-microgrid,1,calibrated,contribution-2-case-study-2-physical-profile:utility-system-stand-alone,extra-candidate,level_selected[HP_165]
